task	true_result	model_result	accuracy
"1. John travelled to the hallway.
2. Mary journeyed to the bathroom.
3. Where is John? "	hallway	hallway	0.4
"4. Daniel went back to the bathroom.
5. John moved to the bedroom.
6. Where is Mary? "	bathroom	i don't know.
"7. John went to the hallway.
8. Sandra journeyed to the kitchen.
9. Where is Sandra? "	kitchen	kitchen
"10. Sandra travelled to the hallway.
11. John went to the garden.
12. Where is Sandra? "	hallway	hallway.
"13. Sandra went back to the bathroom.
14. Sandra moved to the kitchen.
15. Where is Sandra? "	kitchen	kitchen.
"1. Mary got the milk there.
2. John moved to the bedroom.
3. Sandra went back to the kitchen.
4. Mary travelled to the hallway.
5. Where is the milk? "	hallway	hallway	0.2
"6. John got the football there.
7. John went to the hallway.
8. Where is the football? "	bathroom	i don't know.
"9. John put down the football.
10. Mary went to the garden.
11. Where is the football? "	kitchen	kitchen
"12. John went to the kitchen.
13. Sandra travelled to the hallway.
14. Where is the football? "	hallway	hallway.
"15. Daniel went to the hallway.
16. Mary discarded the milk.
17. Where is the milk? "	kitchen	kitchen.
"1. Mary got the milk.
2. John moved to the bedroom.
3. Daniel journeyed to the office.
4. John grabbed the apple there.
5. John got the football.
6. John journeyed to the garden.
7. Mary left the milk.
8. John left the football.
9. Daniel moved to the garden.
10. Daniel grabbed the football.
11. Mary moved to the hallway.
12. Mary went to the kitchen.
13. John put down the apple there.
14. John picked up the apple.
15. Sandra moved to the hallway.
16. Daniel left the football there.
17. Daniel took the football.
18. John travelled to the kitchen.
19. Daniel dropped the football.
20. John dropped the apple.
21. John grabbed the apple.
22. John went to the office.
23. Sandra went back to the bedroom.
24. Sandra took the milk.
25. John journeyed to the bathroom.
26. John travelled to the office.
27. Sandra left the milk.
28. Mary went to the bedroom.
29. Mary moved to the office.
30. John travelled to the hallway.
31. Sandra moved to the garden.
32. Mary moved to the kitchen.
33. Daniel took the football.
34. Mary journeyed to the bedroom.
35. Mary grabbed the milk there.
36. Mary discarded the milk.
37. John went to the garden.
38. John discarded the apple there.
39. Where was the apple before the bathroom? "	hallway	hallway	0.13
"40. Sandra travelled to the bedroom.
41. Daniel moved to the bathroom.
42. Where was the apple before the hallway? "	bathroom	i don't know.
"43. Sandra got the milk.
44. Daniel travelled to the garden.
45. Where was the apple before the hallway? "	kitchen	kitchen
"46. Sandra went back to the bathroom.
47. Daniel took the apple there.
48. Mary went back to the hallway.
49. Daniel went to the hallway.
50. Sandra went to the kitchen.
51. Mary journeyed to the bedroom.
52. Sandra journeyed to the hallway.
53. Daniel put down the apple.
54. Daniel put down the football there.
55. Sandra journeyed to the garden.
56. Where was the football before the garden? "	hallway	hallway.
"57. Mary travelled to the office.
58. Sandra dropped the milk.
59. Where was the football before the garden? "	kitchen	kitchen.
"1. The hallway is east of the bathroom.
2. The bedroom is west of the bathroom.
3. What is the bathroom east of?"	hallway	hallway	0.25
"1. The bedroom is west of the kitchen.
2. The hallway is west of the bedroom.
3. What is west of the kitchen?"	bathroom	i don't know.
"1. The bathroom is north of the garden.
2. The hallway is north of the bathroom.
3. What is north of the garden?"	kitchen	kitchen
"1. The kitchen is south of the bathroom.
2. The bedroom is south of the kitchen.
3. What is south of the kitchen?"	hallway	hallway.
"1. The bedroom is east of the kitchen.
2. The office is east of the bedroom.
3. What is east of the kitchen?"	kitchen	kitchen.
"1. Fred picked up the football there.
2. Fred gave the football to Jeff.
3. What did Fred give to Jeff? "	hallway	hallway	0.2
"4. Bill went back to the bathroom.
5. Jeff grabbed the milk there.
6. Who gave the football to Jeff? "	bathroom	i don't know.
"7. Jeff gave the football to Fred.
8. Fred handed the football to Jeff.
9. What did Fred give to Jeff? "	kitchen	kitchen
"10. Jeff handed the football to Fred.
11. Fred gave the football to Jeff.
12. Who did Fred give the football to? "	hallway	hallway.
"13. Jeff gave the football to Fred.
14. Jeff put down the milk.
15. Who did Jeff give the football to? "	kitchen	kitchen.
"1. Mary got the milk there.
2. John moved to the bedroom.
3. Is John in the kitchen? "	hallway	hallway	0.2
"4. Mary discarded the milk.
5. John went to the garden.
6. Is John in the kitchen? "	bathroom	i don't know.
"7. Daniel moved to the bedroom.
8. Daniel went to the garden.
9. Is John in the garden? "	kitchen	kitchen
"10. Daniel travelled to the bathroom.
11. Sandra travelled to the bedroom.
12. Is Daniel in the bathroom? "	hallway	hallway.
"13. Mary took the football there.
14. Sandra grabbed the milk there.
15. Is Daniel in the bedroom? "	kitchen	kitchen.
"1. Mary got the milk there.
2. John moved to the bedroom.
3. How many objects is Mary carrying? "	hallway	hallway	0.17
"4. Sandra went back to the bathroom.
5. John got the football there.
6. How many objects is Mary carrying? "	bathroom	i don't know.
"7. Mary journeyed to the bathroom.
8. Mary gave the milk to Sandra.
9. How many objects is Mary carrying? "	kitchen	kitchen
"10. John went back to the bathroom.
11. John left the football.
12. How many objects is John carrying? "	hallway	hallway.
"13. Sandra gave the milk to John.
14. John journeyed to the garden.
15. How many objects is John carrying? "	kitchen	kitchen.
"1. Mary got the milk there.
2. John moved to the bedroom.
3. What is Mary carrying? "	hallway	hallway	0.18
"4. John picked up the football there.
5. John journeyed to the bathroom.
6. What is John carrying? "	bathroom	i don't know.
"7. John went to the garden.
8. Daniel went back to the hallway.
9. What is John carrying? "	kitchen	kitchen
"10. John went back to the bathroom.
11. Mary went to the office.
12. Sandra went back to the kitchen.
13. Mary travelled to the hallway.
14. John travelled to the bedroom.
15. John picked up the apple there.
16. What is John carrying? "	hallway	hallway.
"17. Sandra travelled to the bedroom.
18. Sandra journeyed to the kitchen.
19. What is John carrying? "	kitchen	kitchen.
"1. John is in the hallway.
2. Sandra is in the kitchen.
3. Is Sandra in the bedroom? "	hallway	hallway	0.2
"4. Sandra journeyed to the bedroom.
5. Mary travelled to the garden.
6. Is Sandra in the bedroom? "	bathroom	i don't know.
"7. Mary went back to the bathroom.
8. Sandra is no longer in the bedroom.
9. Is Sandra in the bedroom? "	kitchen	kitchen
"10. John is in the office.
11. Mary is not in the bathroom.
12. Is Mary in the bathroom? "	hallway	hallway.
"13. John is in the hallway.
14. Mary journeyed to the garden.
15. Is Mary in the kitchen? "	kitchen	kitchen.
"1. Mary is in the school.
2. Bill is in the kitchen.
3. Is Bill in the bedroom? "	hallway	hallway	0.18
"4. Bill journeyed to the bedroom.
5. Fred travelled to the cinema.
6. Is Bill in the bedroom? "	bathroom	i don't know.
"7. Fred went back to the park.
8. Bill is either in the school or the office.
9. Is Bill in the park? "	kitchen	kitchen
"10. Mary went to the cinema.
11. Julie is either in the school or the office.
12. Is Fred in the park? "	hallway	hallway.
"13. Julie is either in the park or the school.
14. Bill went back to the office.
15. Is Bill in the office? "	kitchen	kitchen.
"1. John journeyed to the hallway.
2. After that he journeyed to the garden.
3. Where is John? "	hallway	hallway	0.18
"4. John moved to the office.
5. Following that he went to the hallway.
6. Where is John? "	bathroom	i don't know.
"7. Sandra travelled to the bedroom.
8. Then she moved to the hallway.
9. Where is Sandra? "	kitchen	kitchen
"10. Mary travelled to the hallway.
11. Afterwards she went to the bathroom.
12. Where is Sandra? "	hallway	hallway.
"13. John went back to the office.
14. After that he moved to the bathroom.
15. Where is Mary? "	kitchen	kitchen.
"1. John and Mary travelled to the hallway.
2. Sandra and Mary journeyed to the bedroom.
3. Where is Mary? "	hallway	hallway	0.23
"4. Mary and Daniel travelled to the bathroom.
5. Daniel and Sandra journeyed to the office.
6. Where is Mary? "	bathroom	i don't know.
"7. Daniel and Mary went to the bedroom.
8. Daniel and Sandra travelled to the hallway.
9. Where is Sandra? "	kitchen	kitchen
"10. Mary and Sandra journeyed to the garden.
11. Sandra and Mary travelled to the hallway.
12. Where is Mary? "	hallway	hallway.
"13. Daniel and John journeyed to the bathroom.
14. Daniel and Mary went back to the office.
15. Where is John? "	kitchen	kitchen.
"1. John and Mary went back to the hallway.
2. Then they went to the bathroom.
3. Where is John? "	hallway	hallway	0.23
"4. Mary and John moved to the hallway.
5. Following that they moved to the kitchen.
6. Where is John? "	bathroom	i don't know.
"7. Daniel and Sandra went to the office.
8. Following that they went back to the kitchen.
9. Where is John? "	kitchen	kitchen
"10. John and Daniel journeyed to the office.
11. Following that they travelled to the hallway.
12. Where is Sandra? "	hallway	hallway.
"13. Mary and Sandra travelled to the garden.
14. After that they went back to the kitchen.
15. Where is Sandra? "	kitchen	kitchen.
"1. This morning Mary moved to the kitchen.
2. This afternoon Mary moved to the cinema.
3. Yesterday Bill went to the bedroom.
4. Yesterday Mary journeyed to the school.
5. Where was Mary before the cinema? "	hallway	hallway	0.21
"6. Yesterday Fred went back to the cinema.
7. Bill journeyed to the office this morning.
8. Where was Bill before the office? "	bathroom	i don't know.
"9. Mary went to the school this evening.
10. This afternoon Bill journeyed to the kitchen.
11. Where was Bill before the office? "	kitchen	kitchen
"12. Julie went to the office yesterday.
13. This morning Fred journeyed to the office.
14. Where was Mary before the school? "	hallway	hallway.
"15. This evening Fred journeyed to the school.
16. This afternoon Fred journeyed to the bedroom.
17. Where was Mary before the school? "	kitchen	kitchen.
"1. Wolves are afraid of mice.
2. Sheep are afraid of mice.
3. Winona is a sheep.
4. Mice are afraid of cats.
5. Cats are afraid of wolves.
6. Jessica is a mouse.
7. Emily is a cat.
8. Gertrude is a wolf.
9. What is emily afraid of?"	hallway	hallway	0.2
10. What is winona afraid of?	bathroom	i don't know.
11. What is gertrude afraid of?	kitchen	kitchen
12. What is jessica afraid of?	hallway	hallway.
"1. Cats are afraid of wolves.
2. Mice are afraid of cats.
3. Sheep are afraid of mice.
4. Gertrude is a cat.
5. Wolves are afraid of sheep.
6. Jessica is a mouse.
7. Emily is a wolf.
8. Winona is a cat.
9. What is emily afraid of?"	kitchen	kitchen.
"1. Lily is a swan.
2. Bernhard is a lion.
3. Greg is a swan.
4. Bernhard is white.
5. Brian is a lion.
6. Lily is gray.
7. Julius is a rhino.
8. Julius is gray.
9. Greg is gray.
10. What color is Brian?"	hallway	hallway	0.19
"1. Lily is a rhino.
2. Brian is a swan.
3. Bernhard is a swan.
4. Lily is gray.
5. Brian is white.
6. Bernhard is white.
7. Julius is a frog.
8. Julius is white.
9. Greg is a frog.
10. What color is Greg?"	bathroom	i don't know.
"1. Bernhard is a rhino.
2. Brian is a rhino.
3. Bernhard is white.
4. Brian is white.
5. Lily is a lion.
6. Lily is yellow.
7. Greg is a rhino.
8. Greg is green.
9. Julius is a rhino.
10. What color is Julius?"	kitchen	kitchen
"1. Greg is a frog.
2. Bernhard is a swan.
3. Julius is a frog.
4. Bernhard is white.
5. Julius is green.
6. Lily is a frog.
7. Brian is a frog.
8. Lily is gray.
9. Brian is gray.
10. What color is Greg?"	hallway	hallway.
"1. Julius is a swan.
2. Julius is gray.
3. Bernhard is a swan.
4. Bernhard is yellow.
5. Brian is a lion.
6. Greg is a lion.
7. Brian is white.
8. Lily is a frog.
9. Lily is gray.
10. What color is Greg?"	kitchen	kitchen.
"1. The pink rectangle is to the left of the triangle.
2. The triangle is to the left of the red square.
3. Is the pink rectangle to the right of the red square?"	hallway	hallway	0.18
4. Is the pink rectangle to the left of the red square?	bathroom	i don't know.
5. Is the pink rectangle to the left of the red square?	kitchen	kitchen
6. Is the pink rectangle to the left of the red square?	hallway	hallway.
7. Is the pink rectangle to the right of the red square?	kitchen	kitchen.
"1. The suitcase fits inside the box.
2. The chocolate fits inside the box.
3. The container is bigger than the box of chocolates.
4. The container is bigger than the suitcase.
5. The box is bigger than the box of chocolates.
6. The container is bigger than the chocolate.
7. The chocolate fits inside the container.
8. The chocolate fits inside the suitcase.
9. The chocolate fits inside the chest.
10. The suitcase fits inside the container.
11. Does the box fit in the chocolate?"	hallway	hallway	0.17
12. Is the chocolate bigger than the box?	bathroom	i don't know.
13. Does the box fit in the chocolate?	kitchen	kitchen
14. Does the box fit in the chocolate?	hallway	hallway.
15. Is the chocolate bigger than the box?	kitchen	kitchen.
"1. The garden is west of the bathroom.
2. The bedroom is north of the hallway.
3. The office is south of the hallway.
4. The bathroom is north of the bedroom.
5. The kitchen is east of the bedroom.
6. How do you go from the bathroom to the hallway?"	hallway	hallway	0.16
"1. The hallway is west of the bathroom.
2. The office is south of the bedroom.
3. The garden is north of the bedroom.
4. The kitchen is east of the bedroom.
5. The hallway is east of the kitchen.
6. How do you go from the bedroom to the hallway?"	bathroom	i don't know.
"1. The garden is west of the hallway.
2. The kitchen is west of the garden.
3. The garden is north of the bathroom.
4. The bedroom is east of the bathroom.
5. The hallway is west of the office.
6. How do you go from the bathroom to the hallway?"	kitchen	kitchen
"1. The hallway is south of the bathroom.
2. The kitchen is west of the garden.
3. The kitchen is south of the bedroom.
4. The office is north of the bedroom.
5. The bedroom is east of the bathroom.
6. How do you go from the kitchen to the bathroom?"	hallway	hallway.
"1. The bedroom is east of the bathroom.
2. The hallway is east of the bedroom.
3. The kitchen is west of the garden.
4. The office is south of the bedroom.
5. The office is north of the kitchen.
6. How do you go from the bedroom to the kitchen?"	kitchen	kitchen.
"1. Jason is thirsty.
2. Where will jason go?"	hallway	hallway	0.15
"3. Antoine is bored.
4. Where will antoine go?"	bathroom	i don't know.
"5. Jason went to the kitchen.
6. Why did jason go to the kitchen?"	kitchen	kitchen
"7. Antoine journeyed to the garden.
8. Why did antoine go to the garden?"	hallway	hallway.
"9. Sumit is hungry.
10. Where will sumit go?"	kitchen	kitchen.
