entry_id	line_id	part_id	task_id	sample_id	context/question	human_subjects	non_human_subjects	subj_attributes	relations	generalized_relations	locations	direct_objects	obj_attributes	indirect_objects	result_relation	reasoning	implicit_object	implicit_relation	implicit_location	golden_answer	golden_supporting_facts
1	1	1	1	18	John went to the kitchen.	John			go	move	kitchen				be						
2	2	1	1	18	John journeyed to the office.	John			journey	move	office				be						
3	3	1	1	18	Where is John?	John			be	be					be					office	2
4	4	2	1	18	Daniel travelled to the bedroom.	Daniel			travel	move	bedroom				be						
5	5	2	1	18	John journeyed to the kitchen.	John			journey	move	kitchen				be						
6	6	2	1	18	Where is John?	John			be	be					be					kitchen	5
7	7	3	1	18	John journeyed to the office.	John			journey	move	office				be						
8	8	3	1	18	Mary went back to the bathroom.	Mary			go	move	bathroom				be						
9	9	3	1	18	Where is Mary?	Mary			be	be					be					bathroom	8
10	10	4	1	18	John journeyed to the garden.	John			journey	move	garden				be						
11	11	4	1	18	Sandra went to the bathroom.	Sandra			go	move	bathroom				be						
12	12	4	1	18	Where is John?	John			be	be					be					garden	10
13	13	5	1	18	Sandra journeyed to the office.	Sandra			journey	move	office				be						
14	14	5	1	18	John went back to the bathroom.	John			go	move	bathroom				be						
15	15	5	1	18	Where is Sandra?	Sandra			be	be					be					office	13
16	1	1	1	19	Mary travelled to the kitchen.	Mary			travel	move	kitchen				be						
17	2	1	1	19	Sandra moved to the office.	Sandra			move	move	office				be						
18	3	1	1	19	Where is Sandra?	Sandra			be	be					be					office	2
19	4	2	1	19	Mary went back to the bedroom.	Mary			go	move	bedroom				be						
20	5	2	1	19	Mary journeyed to the kitchen.	Mary			journey	move	kitchen				be						
21	6	2	1	19	Where is Mary?	Mary			be	be					be					kitchen	5
22	7	3	1	19	John travelled to the bedroom.	John			travel	move	bedroom				be						
23	8	3	1	19	Daniel went to the bedroom.	Daniel			go	move	bedroom				be						
24	9	3	1	19	Where is Mary?	Mary			be	be					be					kitchen	5
25	10	4	1	19	Sandra journeyed to the garden.	Sandra			journey	move	garden				be						
26	11	4	1	19	Sandra travelled to the office.	Sandra			travel	move	office				be						
27	12	4	1	19	Where is Sandra?	Sandra			be	be					be					office	11
28	13	5	1	19	Mary travelled to the office.	Mary			travel	move	office				be						
29	14	5	1	19	Mary journeyed to the kitchen.	Mary			journey	move	kitchen				be						
30	15	5	1	19	Where is Sandra?	Sandra			be	be					be					office	11
31	1	1	1	20	Sandra went to the kitchen.	Sandra			go	move	kitchen				be						
32	2	1	1	20	John journeyed to the kitchen.	John			journey	move	kitchen				be						
33	3	1	1	20	Where is Sandra?	Sandra			be	be					be					kitchen	1
34	4	2	1	20	Sandra went back to the garden.	Sandra			go	move	garden				be						
35	5	2	1	20	Mary travelled to the hallway.	Mary			travel	move	hallway				be						
36	6	2	1	20	Where is John?	John			be	be					be					kitchen	2
37	7	3	1	20	Sandra went back to the bathroom.	Sandra			go	move	bathroom				be						
38	8	3	1	20	Daniel journeyed to the garden.	Daniel			journey	move	garden				be						
39	9	3	1	20	Where is Daniel?	Daniel			be	be					be					garden	8
40	10	4	1	20	John moved to the hallway.	John			move	move	hallway				be						
41	11	4	1	20	Mary moved to the bathroom.	Mary			move	move	bathroom				be						
42	12	4	1	20	Where is Sandra?	Sandra			be	be					be					bathroom	7
43	13	5	1	20	John went back to the office.	John			go	move	office				be						
44	14	5	1	20	Mary went to the kitchen.	Mary			go	move	kitchen				be						
45	15	5	1	20	Where is Mary?	Mary			be	be					be					kitchen	14
46	1	1	2	18	Sandra travelled to the kitchen.	Sandra			travel	move	kitchen				be						
47	2	1	2	18	Daniel grabbed the football there.	Daniel			grab	take	there	football			have						
48	3	1	2	18	Daniel took the milk there.	Daniel			take	take	there	milk			have						
49	4	1	2	18	John went to the bathroom.	John			go	move	bathroom				be						
50	5	1	2	18	Daniel travelled to the hallway.	Daniel			travel	move	hallway				be						
51	6	1	2	18	Daniel dropped the milk.	Daniel			drop	put		milk			not have						
52	7	1	2	18	Where is the milk?		milk		be	be					be					hallway	6 5
53	8	2	2	18	Daniel grabbed the milk there.	Daniel			grab	take	there	milk			have						
54	9	2	2	18	Daniel journeyed to the garden.	Daniel			journey	move	garden				be						
55	10	2	2	18	Where is the milk?		milk		be	be					be					garden	8 9
56	11	3	2	18	Daniel dropped the football.	Daniel			drop	put		football			not have						
57	12	3	2	18	Mary went to the kitchen.	Mary			go	move	kitchen				be						
58	13	3	2	18	Where is the milk?		milk		be	be					be					garden	8 9
59	14	4	2	18	Mary travelled to the bedroom.	Mary			travel	move	bedroom				be						
60	15	4	2	18	Daniel picked up the football there.	Daniel			pick up	take	there	football			have						
61	16	4	2	18	Daniel left the milk.	Daniel			leave	put		milk			not have						
62	17	4	2	18	Daniel took the milk there.	Daniel			take	take	there	milk			have						
63	18	4	2	18	Sandra moved to the garden.	Sandra			move	move	garden				be						
64	19	4	2	18	Daniel went back to the office.	Daniel			go	move	office				be						
65	20	4	2	18	Where is the milk?		milk		be	be					be					office	17 19
66	21	5	2	18	Daniel took the apple there.	Daniel			take	take	there	apple			have						
67	22	5	2	18	Daniel put down the football there.	Daniel			put down	put	there	football			not have						
68	23	5	2	18	Where is the milk?		milk		be	be					be					office	17 19
69	1	1	2	19	Sandra journeyed to the bathroom.	Sandra			journey	move	bathroom				be						
70	2	1	2	19	Daniel picked up the apple there.	Daniel			pick up	take	there	apple			have						
71	3	1	2	19	Daniel journeyed to the kitchen.	Daniel			journey	move	kitchen				be						
72	4	1	2	19	Daniel put down the apple.	Daniel			put down	put		apple			not have						
73	5	1	2	19	Where is the apple?		apple		be	be					be					kitchen	4 3
74	6	2	2	19	Daniel grabbed the apple there.	Daniel			grab	take	there	apple			have						
75	7	2	2	19	Sandra moved to the bedroom.	Sandra			move	move	bedroom				be						
76	8	2	2	19	Daniel went back to the hallway.	Daniel			go	move	hallway				be						
77	9	2	2	19	Sandra went back to the hallway.	Sandra			go	move	hallway				be						
78	10	2	2	19	Where is the apple?		apple		be	be					be					hallway	6 8
79	11	3	2	19	Sandra went to the office.	Sandra			go	move	office				be						
80	12	3	2	19	Daniel took the football there.	Daniel			take	take	there	football			have						
81	13	3	2	19	Mary moved to the office.	Mary			move	move	office				be						
82	14	3	2	19	Daniel went to the garden.	Daniel			go	move	garden				be						
83	15	3	2	19	Where is the football?		football		be	be					be					garden	12 14
84	16	4	2	19	Daniel put down the football.	Daniel			put down	put		football			not have						
85	17	4	2	19	Sandra journeyed to the kitchen.	Sandra			journey	move	kitchen				be						
86	18	4	2	19	Where is the football?		football		be	be					be					garden	16 14
87	19	5	2	19	Daniel grabbed the football there.	Daniel			grab	take	there	football			have						
88	20	5	2	19	Daniel discarded the football.	Daniel			discard	put		football			not have						
89	21	5	2	19	Where is the football?		football		be	be					be					garden	20 14
90	1	1	2	20	Mary travelled to the kitchen.	Mary			travel	move	kitchen				be						
91	2	1	2	20	Sandra moved to the office.	Sandra			move	move	office				be						
92	3	1	2	20	Mary went to the hallway.	Mary			go	move	hallway				be						
93	4	1	2	20	John went to the bathroom.	John			go	move	bathroom				be						
94	5	1	2	20	Daniel moved to the garden.	Daniel			move	move	garden				be						
95	6	1	2	20	Sandra got the apple there.	Sandra			get	take	there	apple			have						
96	7	1	2	20	John journeyed to the kitchen.	John			journey	move	kitchen				be						
97	8	1	2	20	Sandra dropped the apple.	Sandra			drop	put		apple			not have						
98	9	1	2	20	Where is the apple?		apple		be	be					be					office	8 2
99	10	2	2	20	Mary went to the bathroom.	Mary			go	move	bathroom				be						
100	11	2	2	20	Mary went back to the office.	Mary			go	move	office				be						
101	12	2	2	20	Where is the apple?		apple		be	be					be					office	8 2
102	13	3	2	20	Mary grabbed the apple there.	Mary			grab	take	there	apple			have						
103	14	3	2	20	John went back to the bedroom.	John			go	move	bedroom				be						
104	15	3	2	20	John moved to the hallway.	John			move	move	hallway				be						
105	16	3	2	20	John journeyed to the garden.	John			journey	move	garden				be						
106	17	3	2	20	Mary dropped the apple there.	Mary			drop	put	there	apple			not have						
107	18	3	2	20	Mary got the apple there.	Mary			get	take	there	apple			have						
108	19	3	2	20	Sandra travelled to the bathroom.	Sandra			travel	move	bathroom				be						
109	20	3	2	20	Mary put down the apple.	Mary			put down	put		apple			not have						
110	21	3	2	20	Where is the apple?		apple		be	be					be					office	20 11
111	22	4	2	20	Mary travelled to the hallway.	Mary			travel	move	hallway				be						
112	23	4	2	20	Daniel went to the office.	Daniel			go	move	office				be						
113	24	4	2	20	Where is the apple?		apple		be	be					be					office	20 11
114	25	5	2	20	Sandra journeyed to the bedroom.	Sandra			journey	move	bedroom				be						
115	26	5	2	20	Sandra got the milk there.	Sandra			get	take	there	milk			have						
116	27	5	2	20	Where is the apple?		apple		be	be					be					office	20 11
117	1	1	3	18	John moved to the kitchen.	John			move	move	kitchen				be						
118	2	1	3	18	Daniel travelled to the office.	Daniel			travel	move	office				be						
119	3	1	3	18	Daniel moved to the kitchen.	Daniel			move	move	kitchen				be						
120	4	1	3	18	Mary moved to the kitchen.	Mary			move	move	kitchen				be						
121	5	1	3	18	Sandra journeyed to the bedroom.	Sandra			journey	move	bedroom				be						
122	6	1	3	18	John went to the office.	John			go	move	office				be						
123	7	1	3	18	Daniel travelled to the garden.	Daniel			travel	move	garden				be						
124	8	1	3	18	Daniel picked up the milk.	Daniel			pick up	take		milk			have						
125	9	1	3	18	Mary journeyed to the garden.	Mary			journey	move	garden				be						
126	10	1	3	18	Sandra moved to the garden.	Sandra			move	move	garden				be						
127	11	1	3	18	John journeyed to the garden.	John			journey	move	garden				be						
128	12	1	3	18	John travelled to the office.	John			travel	move	office				be						
129	13	1	3	18	Daniel travelled to the kitchen.	Daniel			travel	move	kitchen				be						
130	14	1	3	18	John went back to the garden.	John			go	move	garden				be						
131	15	1	3	18	Daniel travelled to the bedroom.	Daniel			travel	move	bedroom				be						
132	16	1	3	18	John travelled to the kitchen.	John			travel	move	kitchen				be						
133	17	1	3	18	Daniel got the apple there.	Daniel			get	take	there	apple			have						
134	18	1	3	18	Daniel left the apple.	Daniel			leave	put		apple			not have						
135	19	1	3	18	Daniel grabbed the apple.	Daniel			grab	take		apple			have						
136	20	1	3	18	Daniel left the apple.	Daniel			leave	put		apple			not have						
137	21	1	3	18	Sandra travelled to the hallway.	Sandra			travel	move	hallway				be						
138	22	1	3	18	Mary moved to the office.	Mary			move	move	office				be						
139	23	1	3	18	Mary took the football.	Mary			take	take		football			have						
140	24	1	3	18	Mary put down the football.	Mary			put down	put		football			not have						
141	25	1	3	18	Daniel picked up the apple.	Daniel			pick up	take		apple			have						
142	26	1	3	18	Daniel dropped the apple there.	Daniel			drop	put	there	apple			not have						
143	27	1	3	18	Daniel journeyed to the bathroom.	Daniel			journey	move	bathroom				be						
144	28	1	3	18	John went to the bathroom.	John			go	move	bathroom				be						
145	29	1	3	18	Mary journeyed to the bedroom.	Mary			journey	move	bedroom				be						
146	30	1	3	18	Daniel dropped the milk there.	Daniel			drop	put	there	milk			not have						
147	31	1	3	18	Where was the milk before the bathroom?		milk		be	be					be					bedroom	30 27 15
148	32	2	3	18	Daniel moved to the garden.	Daniel			move	move	garden				be						
149	33	2	3	18	John moved to the kitchen.	John			move	move	kitchen				be						
150	34	2	3	18	Where was the milk before the bedroom?		milk		be	be					be					kitchen	30 15 13
151	35	3	3	18	Daniel went to the hallway.	Daniel			go	move	hallway				be						
152	36	3	3	18	John went back to the garden.	John			go	move	garden				be						
153	37	3	3	18	Where was the milk before the bathroom?		milk		be	be					be					bedroom	30 27 15
154	38	4	3	18	Daniel moved to the office.	Daniel			move	move	office				be						
155	39	4	3	18	John travelled to the bedroom.	John			travel	move	bedroom				be						
156	40	4	3	18	Mary grabbed the apple.	Mary			grab	take		apple			have						
157	41	4	3	18	Mary went to the office.	Mary			go	move	office				be						
158	42	4	3	18	Daniel went to the kitchen.	Daniel			go	move	kitchen				be						
159	43	4	3	18	Mary got the football.	Mary			get	take		football			have						
160	44	4	3	18	Sandra travelled to the kitchen.	Sandra			travel	move	kitchen				be						
161	45	4	3	18	John journeyed to the garden.	John			journey	move	garden				be						
162	46	4	3	18	Mary went to the garden.	Mary			go	move	garden				be						
163	47	4	3	18	Sandra went to the bedroom.	Sandra			go	move	bedroom				be						
164	48	4	3	18	Sandra travelled to the garden.	Sandra			travel	move	garden				be						
165	49	4	3	18	John went to the kitchen.	John			go	move	kitchen				be						
166	50	4	3	18	Mary went to the hallway.	Mary			go	move	hallway				be						
167	51	4	3	18	Daniel travelled to the hallway.	Daniel			travel	move	hallway				be						
168	52	4	3	18	Daniel went back to the office.	Daniel			go	move	office				be						
169	53	4	3	18	Mary went back to the kitchen.	Mary			go	move	kitchen				be						
170	54	4	3	18	Mary moved to the bathroom.	Mary			move	move	bathroom				be						
171	55	4	3	18	Mary got the milk.	Mary			get	take		milk			have						
172	56	4	3	18	Mary put down the milk.	Mary			put down	put		milk			not have						
173	57	4	3	18	Mary left the football.	Mary			leave	put		football			not have						
174	58	4	3	18	Where was the football before the bathroom?		football		be	be					be					kitchen	57 54 53
175	59	5	3	18	Daniel went back to the bedroom.	Daniel			go	move	bedroom				be						
176	60	5	3	18	Sandra journeyed to the bathroom.	Sandra			journey	move	bathroom				be						
177	61	5	3	18	Where was the football before the hallway?		football		be	be	hallway				be					garden	57 50 46
178	1	1	3	19	Sandra picked up the apple there.	Sandra			pick up	take	there	apple			have						
179	2	1	3	19	Mary travelled to the hallway.	Mary			travel	move	hallway				be						
180	3	1	3	19	Mary went back to the office.	Mary			go	move	office				be						
181	4	1	3	19	Sandra journeyed to the hallway.	Sandra			journey	move	hallway				be						
182	5	1	3	19	Daniel moved to the hallway.	Daniel			move	move	hallway				be						
183	6	1	3	19	Mary moved to the hallway.	Mary			move	move	hallway				be						
184	7	1	3	19	John went to the hallway.	John			go	move	hallway				be						
185	8	1	3	19	Sandra went to the office.	Sandra			go	move	office				be						
186	9	1	3	19	Mary journeyed to the bedroom.	Mary			journey	move	bedroom				be						
187	10	1	3	19	Sandra left the apple.	Sandra			leave	put		apple			not have						
188	11	1	3	19	Where was the apple before the office?		apple		be	be					be					hallway	10 8 4
189	12	2	3	19	John went to the bathroom.	John			go	move	bathroom				be						
190	13	2	3	19	John went to the kitchen.	John			go	move	kitchen				be						
191	14	2	3	19	Where was the apple before the office?		apple		be	be					be					hallway	10 8 4
192	15	3	3	19	Sandra went to the kitchen.	Sandra			go	move	kitchen				be						
193	16	3	3	19	Sandra moved to the hallway.	Sandra			move	move	hallway				be						
194	17	3	3	19	Where was the apple before the office?		apple		be	be					be					hallway	10 8 4
195	18	4	3	19	John travelled to the office.	John			travel	move	office				be						
196	19	4	3	19	Daniel travelled to the bedroom.	Daniel			travel	move	bedroom				be						
197	20	4	3	19	John went to the garden.	John			go	move	garden				be						
198	21	4	3	19	John journeyed to the bedroom.	John			journey	move	bedroom				be						
199	22	4	3	19	Sandra travelled to the bathroom.	Sandra			travel	move	bathroom				be						
200	23	4	3	19	Sandra journeyed to the garden.	Sandra			journey	move	garden				be						
201	24	4	3	19	Mary moved to the kitchen.	Mary			move	move	kitchen				be						
202	25	4	3	19	Daniel travelled to the kitchen.	Daniel			travel	move	kitchen				be						
203	26	4	3	19	Sandra travelled to the hallway.	Sandra			travel	move	hallway				be						
204	27	4	3	19	John travelled to the kitchen.	John			travel	move	kitchen				be						
205	28	4	3	19	Sandra went back to the office.	Sandra			go	move	office				be						
206	29	4	3	19	John went to the bedroom.	John			go	move	bedroom				be						
207	30	4	3	19	Daniel journeyed to the bathroom.	Daniel			journey	move	bathroom				be						
208	31	4	3	19	John went back to the bathroom.	John			go	move	bathroom				be						
209	32	4	3	19	Sandra moved to the hallway.	Sandra			move	move	hallway				be						
210	33	4	3	19	Daniel got the football.	Daniel			get	take		football			have						
211	34	4	3	19	Mary moved to the bathroom.	Mary			move	move	bathroom				be						
212	35	4	3	19	Daniel went to the office.	Daniel			go	move	office				be						
213	36	4	3	19	Sandra went back to the garden.	Sandra			go	move	garden				be						
214	37	4	3	19	Sandra took the milk.	Sandra			take	take		milk			have						
215	38	4	3	19	Sandra dropped the milk.	Sandra			drop	put		milk			not have						
216	39	4	3	19	Daniel travelled to the hallway.	Daniel			travel	move	hallway				be						
217	40	4	3	19	Daniel went back to the kitchen.	Daniel			go	move	kitchen				be						
218	41	4	3	19	Daniel dropped the football.	Daniel			drop	put		football			not have						
219	42	4	3	19	Where was the football before the kitchen?		football		be	be					be					hallway	41 40 39
220	43	5	3	19	John moved to the hallway.	John			move	move	hallway				be						
221	44	5	3	19	Daniel journeyed to the hallway.	Daniel			journey	move	hallway				be						
222	45	5	3	19	Where was the football before the kitchen?		football		be	be					be					hallway	41 40 39
223	1	1	3	20	Sandra took the football.	Sandra			take	take		football			have						
224	2	1	3	20	Sandra travelled to the garden.	Sandra			travel	move	garden				be						
225	3	1	3	20	Mary journeyed to the office.	Mary			journey	move	office				be						
226	4	1	3	20	Mary went to the bathroom.	Mary			go	move	bathroom				be						
227	5	1	3	20	Sandra put down the football.	Sandra			put down	put		football			not have						
228	6	1	3	20	Sandra went back to the bathroom.	Sandra			go	move	bathroom				be						
229	7	1	3	20	Daniel went to the garden.	Daniel			go	move	garden				be						
230	8	1	3	20	John went to the hallway.	John			go	move	hallway				be						
231	9	1	3	20	Sandra journeyed to the hallway.	Sandra			journey	move	hallway				be						
232	10	1	3	20	Daniel got the football there.	Daniel			get	take	there	football			have						
233	11	1	3	20	John got the apple.	John			get	take		apple			have						
234	12	1	3	20	Mary went back to the kitchen.	Mary			go	move	kitchen				be						
235	13	1	3	20	Daniel discarded the football there.	Daniel			discard	put	there	football			not have						
236	14	1	3	20	John left the apple.	John			leave	put		apple			not have						
237	15	1	3	20	Sandra journeyed to the bedroom.	Sandra			journey	move	bedroom				be						
238	16	1	3	20	John grabbed the apple.	John			grab	take		apple			have						
239	17	1	3	20	John moved to the kitchen.	John			move	move	kitchen				be						
240	18	1	3	20	John discarded the apple.	John			discard	put		apple			not have						
241	19	1	3	20	Mary grabbed the apple.	Mary			grab	take		apple			have						
242	20	1	3	20	Daniel got the football.	Daniel			get	take		football			have						
243	21	1	3	20	Daniel went to the kitchen.	Daniel			go	move	kitchen				be						
244	22	1	3	20	Daniel went back to the bathroom.	Daniel			go	move	bathroom				be						
245	23	1	3	20	Where was the football before the bathroom?		football		be	be					be					kitchen	20 22 21
246	24	2	3	20	Sandra went back to the kitchen.	Sandra			go	move	kitchen				be						
247	25	2	3	20	Daniel dropped the football.	Daniel			drop	put		football			not have						
248	26	2	3	20	Where was the football before the bathroom?		football		be	be					be					kitchen	25 22 21
249	27	3	3	20	Daniel took the football there.	Daniel			take	take	there	football			have						
250	28	3	3	20	Mary left the apple.	Mary			leave	put		apple			not have						
251	29	3	3	20	Daniel journeyed to the kitchen.	Daniel			journey	move	kitchen				be						
252	30	3	3	20	John journeyed to the hallway.	John			journey	move	hallway				be						
253	31	3	3	20	Daniel picked up the apple.	Daniel			pick up	take		apple			have						
254	32	3	3	20	John went back to the garden.	John			go	move	garden				be						
255	33	3	3	20	Daniel dropped the football.	Daniel			drop	put		football			not have						
256	34	3	3	20	Daniel travelled to the hallway.	Daniel			travel	move	hallway				be						
257	35	3	3	20	John went to the bathroom.	John			go	move	bathroom				be						
258	36	3	3	20	Daniel went to the kitchen.	Daniel			go	move	kitchen				be						
259	37	3	3	20	Daniel grabbed the football.	Daniel			grab	take		football			have						
260	38	3	3	20	John travelled to the garden.	John			travel	move	garden				be						
261	39	3	3	20	Daniel went back to the bedroom.	Daniel			go	move	bedroom				be						
262	40	3	3	20	Sandra journeyed to the bedroom.	Sandra			journey	move	bedroom				be						
